;en;es;ja
SONG9_LABEL;The Submarine base;Base Submarina;潜水艦基地
SONG9_INFO;Vince Kaichan\nThe Zubmarine Zone\nA militar base fill with Zubmarines and fire weapons\nYou can find a lot of Heavy Machine Guns here;Vince Kaichan\nThe Zubmarine Zone\nUna base militar llena de Zubmarinos y armas de\nfuego. Puedes encontrar muchas ametralladoras\npesadas aquí;ヴィンス・カイチャン\nThe Zubmarine Zone\n潜水艦や火器が満載の軍事基地\nここでは重機関銃がたくさん見つかります
SONG10_LABEL;Radioactive Desert;Desierto Radioactivo;放射能砂漠
SONG10_INFO;Vince Kaichan\ncrammin jammin\nDesert radiation can kill humans instantly\nBut you can stay here without issues\nAt June 2 2002 a Half Genie Girl born here\nIf you think that this game has an unique humour\nhere is the answer;Vince Kaichan\ncrammin jammin\nLa radiación del desierto puede matar a los\nhumanos al instante,\npero puedes estar aquí sin problemas.\nEl 2 de junio de 2002 nació aquí una\nNiña Semi Genio.\nSi crees que este juego tiene un humor\núnico, aquí tienes la respuesta;ヴィンス・カイチャン\ncrammin jammin\n砂漠の放射線は人間を瞬時に死に至らしめる\nしかし、問題なくここに滞在できます\n2002年6月2日、ハーフジーニーガールが誕生しました\nこのゲームに独特のユーモアがあると思うなら\n答えはここにあります
SONG11_LABEL;Natasha’s Theme;Tema de Natasha;ナターシャのテーマ
SONG11_INFO;Vince Kaichan\nThe Func\nYou are fighting against a Maverick Fairy with a sad past\nand a hate against humans.\nA Lunate Elf like you can change her mind\nbecause that fairy also has pointy ears;Vince Kaichan\nThe Func\nEstás luchando contra una Hada Rebelde con un\npasado triste y un odio hacia los humanos.\nUna elfa lunar como tú puede hacerla cambiar\ndeopinión porque esa hada también tiene\norejas puntiagudas.;ヴィンス・カイチャン\nThe Func\nあなたは悲しい過去と人間への憎しみを持\nつ反抗的な妖精と戦っています\nあなたのようなルナテエルフなら彼女の考えを変えるこ\nとができるだろう、なぜならあの妖精も尖った耳を持っているからだ
SONG12_LABEL;Dungeon of Destruction;Calabozo de la Destrucción;破壊のダンジョン
SONG12_INFO;xerxes\nKaveh's theme\nThe Blacksmith of Destruction gave his name to a former untitled theme\nHe can give you the best weapon set from the universe\nbut you must earn them\nThe Chosen One has a harder life that normal people;xerxes\nKaveh's theme\nThe Blacksmith of Destruction dio su nombre a\nun tema anteriormente sin título\nÉl puede darte el mejor conjunto de armas del\nuniverso, pero debes ganartelas\nEl elegido tiene una vida mas dificil que las\npersonas normales;xerxes\nKaveh's theme\n破壊の鍛冶屋は、以前の無題のテーマに彼の名前を与えました\n彼は宇宙最高の武器セットをあなたに与えることができますが、\nそれを獲得する必要があります\n選ばれし者は普通の人よりも厳しい人生を送る
SONG13_LABEL;Final Boss Fight;Jefe Final;最終ボス戦
SONG13_INFO;ko0x\nzenon\nYou trained for this\nIt's time to shine like fireworks\nand make you final explosion;ko0x\nzenon\nEntrenaste para esto\nEs hora de brillar como fuegos artificiales\ny hacer tu explosión final;ko0x\nzenon\nあなたはこれのために訓練した\n花火のように輝き、最後の爆発を起こす時が来た
SONG14_LABEL;Ending Theme;Tema final;エンディングテーマ
SONG14_INFO;Vince Kaichan\nMilky Way\nWe won, but at what cost?;Vince Kaichan\nMilky Way\nGanamos, pero ¿A que costo?;ヴィンス・カイチャン\n天の川\n我々は勝利したが、その代償は？
SONG15_LABEL;Credits 1;Creditos 1;クレジット 1
SONG15_INFO;Funky Fish and raina\nartificial sweetener\nThat candy was a fake one?\nNow that you are dead doesn't matter;Funky Fish and raina\nartificial sweetener\n¿Ese caramelo era falso?\nAhora que has muerto es irrelevante;Funky Fish and raina\nartificial sweetener\nそのキャンディーは偽物だったんですか？\n死んだらどうでもいい
SONG16_LABEL;Credits 2;Creditos 2;クレジット 2
SONG16_INFO;tj technoiZ\ntoo old\nI'm too old to see my daughter dying;tj technoiZ\ntoo old\nSoy demasiado mayor para ver morir a Mi hija;tj technoiZ\ntoo old\n私は娘が死ぬのを見るには年を取りすぎている
SONG17_LABEL;Credits 3;Creditos 3;クレジット 3
SONG17_INFO;motherchip\nportello\nI said that you are dead?\nForget it\nThis is the true beggining;motherchip\nportello\n¿Dije que habias muerto?\nOlvídalo. Este es el verdadero comienzo;motherchip\nportello\n死んでるの？\n忘れてくださいこれが本当の始まりです
SONG18_LABEL;Kaizo Magic School;Escuela de Magia Kaizo;カイゾー魔法学校
SONG18_INFO;Vince Kaichan\nsongbirds playground\nA happy song for a magic school at Ceres;Vince Kaichan\nsongbirds playground\nUna canción alegre para una escuela de magia en Ceres;ヴィンス・カイチャン\nsongbirds playground\nケレスの魔法学校のための楽しい歌
SONG19_LABEL;Deep Forest;Bosque Profundo;深い森
SONG19_INFO;Vince Kaichan\nGotanda Lights\nThis forest is under the effect of quantum ice\nGo further and you will find a frozen lake\nand the origin of that quamtum ice;Vince Kaichan\nGotanda Lights\nEste bosque está bajo el efecto del hielo cuántico\nAvanza más y encontrarás un lago helado\ny el origen de dicho hielo cuántico;ヴィンス・カイチャン\nGotanda Lights\nこの森は量子氷の影響下にある\nさらに進むと凍った湖とその霜の原因が見つかります
SONG20_LABEL;Boss Fight (Earth);Pelea de jefes (Tierra);ボス戦（地球）
SONG20_INFO;rez-kenet\nunreeeal superhero 3\nReal superheroes are too mainstream\nYou can be somebody better;rez-kenet\nunreeeal superhero 3\nSuperheroes reales son demasiado comunes\nPuedes ser alguien mejor;rez-kenet\nunreeeal superhero 3\n本物のスーパーヒーローは主流すぎる\nあなたはもっと良い人間になれる
SONG21_LABEL;ALSA Audio Calibration;Calibración de Audio ALSA;ALSA オーディオキャリブレーション
SONG21_INFO;MrGamer\nHostlov\nA song made to calibrate your sound system while playing this game.\nThis does not work with bluetooth headset or weird kernels;MrGamer\nHostlov\nUna canción hecha para calibrar tu sistema de sonido mientras juegas a este juego.\nEsto no funciona con auriculares bluetooth o kernels extraños;MrGamer\nHostlov\nこのゲームをプレイ中にサウンドシステムを調整するために作られた曲。Bluetoothヘッドセットや奇妙なカーネルでは動作しません
SONG22_LABEL;Elysium Fields;Campos Elíseos;エリジウム フィールド
SONG22_INFO;4mat\nEternity\nA song about eternity and immutability;4mat\nEternity\nUna canción sobre la eternidad y la inmutabilidad;4mat\nEternity\n永遠と不変性についての歌
ALSA_TEST_MENU;ALSA Audio Calibration;Calibración de Audio ALSA;ALSA オーディオキャリブレーション
ALSA_TEST_SPK;Use directional corners to test speakers;Utilice las esquinas direccionales para probar los altavoces;指向性コーナーを使用してスピーカーをテストする
DIALOG_TEST_0;What is this place?;¿Qué es este lugar?;この場所は何ですか？
DIALOG_TEST_1;I'm here;Estoy aquí;私はここにいます
DIALOG_TEST_2;I got you, cheap copy;Te atrapé, copia barata;手に入れたよ、安物コピー
DIALOG_DANMAKUTEST_0;What are you doing here?;¿Qué haces aquí?;ここで何をしているの？
DIALOG_DANMAKUTEST_1;Your father need help to debug this game;Tu padre necesita ayuda para depurar este juego;あなたのお父さんはこのゲー\nムのデバッグを手伝ってほしいと思っています
DIALOG_DANMAKUTEST_2;Ok, i'll help too;Bien, entonces yo también ayudaré;わかった、私も手伝うよ
DIALOG_DANMAKUTEST_3;are you OK?;¿estás bien?;大丈夫ですか？
DIALOG_DANMAKUTEST_4;I'm just a bit tired;Solo estoy un poco cansada;ちょっと疲れただけ
DIALOG_DANMAKUTEST_5;I'm leaving for now;Me voy por ahora;とりあえず出発します
DIALOG_CERES_L20_0;I won’t be a healer;No seré una sanadora;私はヒーラーにはなりません
DIALOG_CERES_L20_1;I want a friendly challenge, loser will obey the winner;Haremos un reto amistoso, El perdedor obedecerá al ganador;友好的な挑戦をしたい、負けた者は勝者に従う
DIALOG_CERES_L20_2;My magic wand VS your bow;Mi vara mágica contra tu arco;私の魔法の杖 VS あなたの弓
DIALOG_CERES_L20_3;I'm tired;Estoy cansada;私は疲れている
DIALOG_CERES_L20_4;You must study at Kaizo Magic School as you promised;Debes estudiar en la escuela de Magia Kaizo como prometiste;約束通りカイゾー魔法学校で勉強しなくちゃ
DIALOG_CERES_L20_5;It seems I'm lucky;Parece que tengo suerte;私は幸運のようです
CERES_L20_DESC;Kimberly’s Challenge;Reto de Kimberly;キンバリーの挑戦
MENU_CHARACTER;Character List;Lista de Personajes;キャラクター一覧
MENU_TEAM;Team List;Lista de Equipos;チーム
MENU_MAP;World Map;Mapa Mundial;世界地図
MENU_SETTINGS;Settings;Ajustes;設定
MENU_BOUKEN;Adventure Journal;Diario de Aventura;冒険日記
MENU_CHALLENGES;Challenges;Desafíos;チャレンジリスト
MENU_BACKPACK;Backpack;Mochila;バックパック
MENU_EXIT;Return to Title;Regresar a Título;タイトルに戻る
CUTSCENE_0_NAME;Prologue;Prólogo;プロローグ
CUTSCENE_0_0;most underrated children will be the best magicians\nFalcighol Arch, Kaizo Magic School founder;Los niños más subestimados serán los mejores magos\nFalcighol Arch, fundador de la Escuela de Magia Kaizo;最も過小評価されている子供たちが最高のマジシャンになるだろう\nファルシゴール・アーチ、カイゾー・マジック・スクール創設者
CUTSCENE_0_1;Hello, my name is Midori Asgardius, I am a 15 year old elf girl;Hola, mi nombre es Midori Asgardius,\nSoy una niña elfo de 15 años;こんにちは、私の名前はミドリ・アスガルディウスです。\n15歳のエルフの女の子です
CUTSCENE_0_2;They say I run around here and there as if fear didn't exist;Dicen que corro de aquí para allá como si el miedo no existiera;まるで恐怖が存在しないかのように、私はあちこち走り回っていると彼らは言う
CUTSCENE_0_3;But I'm actually a pretty shy and reserved girl;Pero en realidad soy una niña bastante tímida y reservada;でも実際は私はかなり内気で控えめな女の子です
CUTSCENE_0_4;I love reading, when I concentrate\nno one will bother me;Me encanta leer, cuando me\nconcentro nadie me molestará;私は読書が大好きです。集中すれば誰にも邪魔されません
CUTSCENE_0_5;A very funny anecdote was when I set fire to\nmy adoptive mother's, trophy room;Una anécdota muy divertida fue cuando incendié la\nsala de trofeos de mi madre adoptiva;とても面白い逸話は、\n私が養母のトロフィールームに火をつけた時のことです
